numero;cnpj_emitente;valor;data_emissao
128;12345678000199;1240.00;05/07/2026
1042;98765432000110;38910.50;12/07/2026
37;45612378000105;2075.00;18/07/2026
129;12345678000199;860.50;21/07/2026
1043;98765432000110;15300.75;22/07/2026
6;33221144000177;420.00;09/07/2026
130;12345678000199;3115.00;25/07/2026
38;45612378000105;1980.75;28/07/2026
1044;98765432000110;7420.30;29/07/2026
131;12345678000199;95.90;30/07/2026
132;11111111111111;500.00;30/07/2026
abc;12345678000199;100.00;01/07/2026
133;;250.00;02/07/2026
134;12345678000199;abc;03/07/2026
135;12345678000199;300.00;31/02/2026
136;12345678000199;-50.00;04/07/2026
137;12345678000199;180.00
